Target,Model,seed,MAE,RMSE,MAPE,R2
M_DB,catboost,9,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,10,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,11,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,12,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,13,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,14,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,15,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,16,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,17,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,18,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,19,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,20,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,21,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,22,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,23,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,24,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,25,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,26,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,27,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,28,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,29,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,30,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,svr,1,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,2,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,3,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,4,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,5,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,6,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,7,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,8,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,9,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,10,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,11,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,12,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,13,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,14,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,15,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,16,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,17,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,18,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,19,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,20,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,21,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,22,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,23,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,24,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,25,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,26,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,27,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,28,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,29,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,svr,30,0.15425283661544234,0.2968513500615842,1.5758297236998842,0.9991048127260304
M_DB,lgbm,1,0.17432033729667337,0.3154131879218265,1.332153890389396,0.9989893621979912
M_DB,lgbm,2,0.18116794533507818,0.3193741498874565,1.3886165520742046,0.9989638196175239
M_DB,lgbm,3,0.17630355697384925,0.31303962095087806,1.3562517133108334,0.9990045155950985
M_DB,lgbm,4,0.17824640684138227,0.3131670664593235,1.4860992868776228,0.9990037048616739
M_DB,lgbm,5,0.17395466560681316,0.312589002663117,1.3196727660771943,0.9990073795176289
M_DB,lgbm,6,0.17362804883477165,0.30946087976266734,1.318191649134251,0.9990271467042658
M_DB,lgbm,7,0.17937253383773466,0.3146123528739573,1.378214716931269,0.9989944877078122
M_DB,lgbm,8,0.16650378499902294,0.30688426230323507,1.2235106961295226,0.9990432795048426
M_DB,lgbm,9,0.1854025382981567,0.31167107127138277,1.583659503743104,0.9990132007056169
M_DB,lgbm,10,0.18408380278536157,0.3261764380874986,1.474179296658976,0.9989192107547257
M_DB,lgbm,11,0.16261993766356803,0.2942955874528179,1.1943748162892807,0.999120160726325
M_DB,lgbm,12,0.17280245533274766,0.304295579664324,1.3817830128708348,0.9990593520137726
M_DB,lgbm,13,0.17289972862259714,0.31253012138465847,1.2873914815068197,0.9990077534351872
M_DB,lgbm,14,0.17469091428694247,0.3042079255130722,1.39159818894079,0.9990598938542133
M_DB,lgbm,15,0.18403649982395626,0.31158247063288874,1.548965261052551,0.9990137616727925
M_DB,lgbm,16,0.16912911797570354,0.3053230943317957,1.2766943056577371,0.9990529887176395
M_DB,lgbm,17,0.18967813661273875,0.32728109173957215,1.499084970685689,0.9989118777942829
M_DB,lgbm,18,0.1738657775857157,0.3115906517106859,1.358739574745844,0.9990137098816991
M_DB,lgbm,19,0.17190665016515003,0.3113647321786967,1.2853615658890463,0.9990151395871273
M_DB,lgbm,20,0.1716374497785968,0.30413849687571437,1.399570341553356,0.9990603229215385
M_DB,lgbm,21,0.1850778894233349,0.32196620055850234,1.53126321197657,0.9989469320190411
M_DB,lgbm,22,0.16522760015590393,0.307555091806926,1.244649375922231,0.9990390922728671
M_DB,lgbm,23,0.18048799052175737,0.31690972136752793,1.426594017820677,0.9989797491483104
M_DB,lgbm,24,0.18369466004651044,0.3175926855765935,1.5371193749045775,0.998975346975758
M_DB,lgbm,25,0.1738802289471231,0.3070288706431406,1.3773952927181292,0.9990423776511097
M_DB,lgbm,26,0.16636252743076177,0.30472858952038506,1.2497024835175108,0.9990566730419078
M_DB,lgbm,27,0.17634997578335962,0.3197139572398257,1.3159030372523015,0.9989616134964157
M_DB,lgbm,28,0.17799224067750216,0.3122356732799703,1.363587905388357,0.9990096222309911
M_DB,lgbm,29,0.1664544768289534,0.30417744107635786,1.233369546721385,0.9990600822593664
