MAE,RMSE,MAPE,R2,Scenario,Model,Target,n_test
0.16317294870370352,0.2109938140906822,1.044233800193905,0.9996440998642248,OOD-Perforation,dt,M_LB,216
0.1821072126366283,0.23385428479486725,1.2922189495618568,0.9995628007871743,OOD-Perforation,lgbm,M_LB,216
0.1882198902536448,0.25422340356114614,1.35946293769488,0.9994833222429933,OOD-Perforation,gbrt,M_LB,216
0.28332517306629385,0.37311455806027816,2.3817355139779437,0.9988870565521275,OOD-Perforation,histgbr,M_LB,216
0.4533909902541952,0.6090542133018279,3.031924261910426,0.997034481676859,OOD-Perforation,rf,M_LB,216
1.8765993734732946,2.271158982471208,15.82495042319845,0.9587633116742534,OOD-Perforation,adaboost,M_LB,216
2.4577632208306532,3.255572911329841,20.463585266811435,0.9152687603486004,OOD-Perforation,knn,M_LB,216
2.7140486341252874,3.7487701669159774,29.038844755229476,0.8876517432211661,OOD-Perforation,ridge,M_LB,216
2.717200429042707,3.748397964443686,29.170453773736305,0.8876740514562249,OOD-Perforation,elasticnet,M_LB,216
2.717548932779502,3.7483577774104444,29.184084184607496,0.8876764599637916,OOD-Perforation,lasso,M_LB,216
8.898331461800565,10.89953819081294,88.12614538747351,0.05025962083112534,OOD-Perforation,gpr,M_LB,216
9.035438777194768,11.2006478781821,87.07000878078088,-0.0029401015676189246,OOD-Perforation,svr,M_LB,216
